name,rest_type
Hanumanthanagar Biryani Junction,Quick Bites
Faasos,Quick Bites
SLV Refreshment,Quick Bites
Kaggis,Quick Bites
Chatar Patar,Quick Bites
Seven Star,Quick Bites
SVKP Daily Fresh,Quick Bites
Kidambi's Kitchen,Quick Bites
Ruchi's Corner,Quick Bites
Tandoori Knight,Quick Bites
Utsav,Quick Bites
Mane Thindi,Quick Bites
Fast And Fresh,Quick Bites
New Gowda's Fried Chicken,Quick Bites
Juicy Momos,Quick Bites
Donne Biriyani House,Quick Bites
Sri Venkateshwara Chat Centre,Quick Bites
Vinay Bhel Corner,Quick Bites
Spice 9,Quick Bites
Nandi Chats and Juice,Quick Bites
Atithi Point Ande Ka Funda,Quick Bites
Yaarub Hotel,Quick Bites
Just Shawarma,Quick Bites
Aramane Donne Biryani,Quick Bites
FOOD ADDA,Quick Bites
Coffee Bytes,Quick Bites
Parjanya Chat Zone,Quick Bites
Yo Roll Corner,Quick Bites
New Quality Dum Biryani,Quick Bites
Tasty Bites,Quick Bites
Raams Chicken,Quick Bites
Panchami,Quick Bites
Sri Murari Family Restaurant,Quick Bites
New Prakash Hotel,Quick Bites
Sree Sagar,Quick Bites
VEGeatz,Quick Bites
Grand Food,Quick Bites
Grand Food,Bakery
The House Of Vadapav,Quick Bites
Matru Sagar,Quick Bites
Kavali,Quick Bites
Bitez,Quick Bites
Bunt's Biriyani Palace,Quick Bites
Funjabi Curries,Quick Bites
Udupi Upahar,Quick Bites
Ranganna Military Hotel,Quick Bites
Roti Ghar,Casual Dining
Grand Village,Casual Dining
Vidyarthi Bhavan,Quick Bites
Bharjari Oota,Casual Dining
Gokul Veg,Casual Dining
SLV Corner Restaurant,Casual Dining
Timepass Dinner,Casual Dining
Baisakhi,Casual Dining
Eat Repeat,Quick Bites
Sri Guru Kottureshwara Davangere Benne Dosa,Quick Bites
Bridgeway,Casual Dining
Srinathji's Cafe,Casual Dining
Srinathji's Cafe,Cafe
Soho Bar & Grill,Pub
Kollapuri's,Quick Bites
Bhavani Restaurant,Quick Bites
Puliyogare Point,Quick Bites
Zephyr,Casual Dining
Redberrys,Cafe
Hotel Dwarka,Quick Bites
Nisarga Garden Restaurant,Quick Bites
Ma-Arya Family Restaurant,Casual Dining
A2B - Adyar Ananda Bhavan,Casual Dining
Ragoo's,Casual Dining
Imperial Restaurant,Casual Dining
New Prashanth Hotel,Casual Dining
Udupi Sri Krishna Bhavan,Quick Bites
